latin,non-latin
Citrasampādaka Baśīra Hosena / Mīra Śāmachula Ālama Bābu = Chitrosompadok Basir Hossain / Mir Shamsul Alam Baboo = Film editor Basir Hossain.,
Brhattara Rampurera itihasa / Mostapha Tophayela Hosena.,
Bukera bhetara Bāṃlādeśa / Samareśa Majumadāra.,
Brāhmasamāje calliśa bat̲sara / Śrīnātha Canda.,
Brāhmasamāja o Śrīrāmakr̥shṇa / Somaka Dāsa.,
Brātya lokāẏata Lālana / Sudhīra Cakrabartī.,
Citraśilpī Hemena Majumadāra / Bāridabaraṇa Ghosha.,
City of memories : selected poems / by Sunil Gangopadhyay ; translated from the Bengali by Kalyan Ray and Bonnie MacDougall ; foreword by Allen Ginsberg.,
Citrarūpa matta pr̥thibīra / Bishñu De.,
Citragītamaẏī Rabīndra-bāṇī / Kshudirāma Dāsa.,
Bukera bhitare nadī / Rājiẏā Hosāina.,
Bulabulite dhāna kheẏeche / Sādhana Caṭṭopādhyāẏa.,
Bukera madhye āśābr̥ksha / Saiẏada Śāmasula Haka = Boker madda ashabrikkha / by Syed Samsul Haq.,
Buno hām̐sera pālaka / Samareśa Majumadāra.,
Yaśorera loka kabi / E. Jāmāna = Folk poets of Jessore / A. Zaman.,
Yaśora Jelāra chaṛā / [saṅkalaka] Nāsira Helāla.,
Yaśora Jelāra kiṃbadantī / Hosenauddīna Hosena.,
Ye āguna kheẏechila / Śaibāla Mitra.,
Ye yekhāne yāẏa / Bāṇī Basu.,
Yātrāśilpera sekāla-ekāla / Milana Kānti De = Jatrashilper sakal-akal / by Milon Kanti Dey.,
Yebhābe beṛe uṭhi / Āla Māhamuda.,
Yemana khuśī sājo : nāṭaka = Dress as you like / Tājamilura Rahamāna.,
Yekhāne bāghera thābā / Mayahārula Isalāma.,
Yekhāne dān̐ṛiė āchi / Khandakāra Jāhāṅgīr.,
Brahmabidguru Śrīśrībhūpatinātha sannidhāne / [sampādaka] Śrīmohitakumāra Muṃsī.,
Yamunāra tīre tīre : Dillī-Āgrā Bhramaṇa Kāhinī / [lekhaka] Ānisa Siddikī.,
Ye yāra darpaṇe / Āśāpūrṇā Debī.,
Ye aṅka meleni / Bimala Mitra.,
Ye yāra sundara / Anirbāṇa Datta.,
Yāra yā' prāpya / Ābadula Matina.,
Yārā bhora enechila / Ānisula Haka.,
Ye rabe parabāse / Pūrabī Basu = Je rabe parabase / by Purabi Basu.,
"Yebhābe kabitā likhi : Tripurāra nirbācita kabitā o pāṇḍulipi / sampādanā, Sunīla Gaṅgopādhyāẏa, Rātula Debabarmana.",
Caṭṭagrāmera mānasa sampada : ekuśa bacharera liṭala myāgājinera (1971-91) samīkshā saṃkalana o ṭikā / Śāmasula Ālama Sāida.,
"Caṭṭagrāmera āñcalika lokagīti / saṃgraha, saṃkalana, o svaralipi, Kājī Nāsira.",
Cām̐pāinabābagañjera lokasaṃskr̥ti pariciti / Māyahārula Isalāma Taru.,
Cāraṇa-kabi Mukundadāsa / Śrīsatyeśvara Mukhopādhyāẏa.,
Cāraṇakabi Mukunda Dāsa / Kumāreśa Ghosha.,
Cārajana ebaṃ ekajana / Sunīla Gaṅgopādhyāẏa.,
Cāraṇakabi o nakshatradala / Prabhāta Gaṅgopādhyāẏa.,
"Cāri imāmera jībanī : Hayarata Imāma Ābu Hānīphā (rāḥ), Hayarata Imāma Māleka (rāḥ), Hayarata Imāma Sápheyī (rāḥ), Hayarata Imāma Āhamada Bina Hāmbala (rāḥ) / Maolabī Muhāmmada Mujāphphāra Husāina praṇita.",
Cān̐dera gāẏe cān̐da / Tilottamā Majumadāra.,
Cāṅamā Bāṅalā kadhātārā = [Cākmā-Bāṃlā abhidhāna / Sūgata Cākamā (Nanādhana)].,
Cāra bhubanera cāraṅa / Ābula Momena.,
Cākarijībī athaca lekhaka / Tophāẏela.,
Cākurīra āina-kānuna / Saiẏada Tāẏephula Isalāma.,
Cān̐da ḍube gele / Jillura Rahamāna Siddikī.,
Cārabandhu eka premikā / Gautama Rāẏa.,
Cān̐da-Manasāra joṭa / Amalendu Cakrabartī.,
"Cāraṇakabi Mukundadāsa racanāsaṃgraha / saṃgraha o sampādanā, Mijāna Rahamāna.",
Cārulatā o anyānya / Kasturī Caṭṭopādhyāẏa.,
Tina śatakera Kalakātā / [lekhaka] Nakula Caṭṭaupādhyāẏa.,
Tina pāhāṛera svapna / [Lekhaka] Bīrendra Caṭṭopādhyāẏa.,
Tina chaẏa naẏa / [lekhaka] Bimala Mitra. sampādanā: Nakula Caṭṭopādhyāẏa.,
Tina duẏārī ghara / [lekhaka] Kaṇishka.,
Tine eke cāra / Gajendrakumāra Mitra.,
"Tina māẏera kathā : galpe o kathāẏa Śrīmā Sāradā, Śrīmā ""Mādāra"", o Śrīmā Ānandamaẏīra jībana o bāṇī / Buddhadeba Bhaṭṭācārya.",
Tina pāpaṛira phula / Sikadāra Āminula Haka.,
Tina purushera śikshāguru / Mohāmmada Sāipha Uddina sampādita.,
Tina bhubanera kathā / Śaṃkara.,
Tinakanyā o adhabā / Mahāśvetā Debī.,
Tina ekke tina / Mandākrāntā Sena.,
"Tina yoddhāra mukhomukhi : Ke. Ema. Saphiullāha, Ābu Osamāna Caudhurī, Hāruna Hābība / Hābibullāha Phāhāda.",
"Caṭṭagrāmera āñcalika gāna / saṃkalana o sampādanā, Kalyāṇī Ghosha.",
Caṭṭagrāmī Bāṃlāra śabdasambhāra / Āhameda Āmina Caudhurī.,
Cāshī āndolana prasaṅge / Śibadāsa Ghosha.,
Cāpaṛāra dāṅgāra nepathye / Nirañjana Hāladāra.,
Cāi āmūla paribartana / Ran̄jana Caudhurī.,
Cān̐da ḍube gele / Ānanda Bāgacī.,
Cāru Majumadārera kathā / Saurena Basu.,
"Cāṅamāra āg pudhi = Chakma primer / sampādanāẏa Cirajyoti Cāṅamā, Maṅgala Cāṅamā.",
Cārukalāra sāmājika itibr̥tta / Arabinda Dāsagupta.,
Tiriśa basantera phula : tiriśa bat̲sarera kabitāra saṃkalana / Āśrāpha Siddikī.,
Cenā mukhera galpa / Gaṅgānārāẏaṇa Cakrabarttī.,
Cenā mānushera itikathā / Tājākalama.,
Cenā o jānā / Minnāta Ālī.,
Cenā acenā Rabīndranātha / Ābu Mohāmmada Mojāmmela Haka.,
Taraṅga milāẏe yāẏa / Pāpiẏā Bhaṭṭācārya.,
Tareka Masudera gana = Songs of Tareque Masud.,
Taba gānera bhāshāẏa : Najarulasaṅgīta.,
Tabu raṅge bharā / [lekhaka] Bīrendramohana Ācārya.,
Tanu atanu saṃbāda / Samareśa Majumadāra.,
Thoughts on insurance : Bangladesh perspective / A.B.M. Nurul Haq.,
"Threads of testimony : painting, drawing and video works, 16 August-4 September 2014 = Bayana bayāna / Dilara Begum Jolly.",
Cān̐dera saṅge dauṛa / Bāmāprasāda Mukhopādhyāẏa.,
Cān̐dera mānusha Āsāna / Samareśa Majumadāra.,
The Celestial light / Sabir Ahmed Chowdhury.,
Tinaṭe in̐dura andha / Sāẏantanī Pūtatuṇḍa = Tintey indur andha / by Sayantani Putatunda.,
Tistā tomāra saṅge / Aśoka Basu.,
Titāsa theke Rudijalā : sampūṛna upanyāsa / Nīlakaṅka = Titas theke Rudijala / written by Nilkanka.,
"Centenary commemorative volume : ( 1913-2013) / editorial board, emeritus Prof. Dr. Alamgir Muhammad Serajuddin [and four other editors].",
Writing the self : the life and philosophy of a dissenting Bengali Baul Guru / Jeanne Openshaw.,
Taphsīre sūrā-phātehā : Paṇja Sūra / [anubādaka] Sámachula Haka.,
Buśera Irāka yuddha / Minā Fārāha.,
Yaśora Jelāra itihāsa / Āsādujjāmāna Āsāda sampādita.,
Yā naẏa tāi / [lekhaka] Abadhūta.,
Yām̐ra nāma Ghanādā / Premendra Mitra.,
Yārā āguna nebhāẏa / [lekhaka] Kalyāṇa Basu.,
Ye yāra bhūmikāẏa / Nurula Karima Nāsima.,
Ye-pāre pāruka / Āsāda Caudhurī.,
Brījera talāẏa thāki / [lekhaka] Jahirula Isalāma.,
Briṭiśa Bhārate śikshāshaṛayantra : aupanibeśika śikshāra itibr̥tta / Pulaka Canda.,
Cīna dekhe elāma / [lekhaka] Manoja Basu.,
Cīne o Jāpāne / Maitreyī Debī.,
Doẏela nāme meẏeṭi / Saiẏada Śāmasula Haka = Doyel name meyeti / a novel in Bangla by Syed Shamsul Haq.,
Cokhera tārāẏa bhāshā / Rameśa Pālita.,
Buddhi becāra saodāgara / Nabanītā Deba Sena.,
Calaccitrera bārāndāẏa dān̐ṛiẏe / Pharida Uddina Nīrada.,
Calacitra smaraṇīẏa srashṭā / Prabhāta Kumāra Datta.,
Calati meghera chāẏā / Jarāsandha.,
"Buddha and Buddhism / edited by Biswanath Banerjee, Sukomal Chaudhuri.",
"Caitanyabhāgavata, a study / by Asoke Chatterjee Sastri.",
Caitanya rahasya sandhāne / Bīrendranātha Sarakāra.,
Caitrapabana o digantarekha : muktiyuddhera upanyāsa / Māsuda Āhameda.,
Calcutta dateline and-- / Subimal Misra ; translated and edited by Nero Mukherjee.,
Calaccitre Banali Musalamana / Anupama Hayat.,
Cabbiśa Paragaṇāra mandira / Asīma Mukhopādhyāẏa.,
"Buddhadeba, anya mānusha / Śyāmalendu Mitra.",
Byabasthāpakīẏa naipuṇyera chom̐ẏāẏa : ekaṭi rāshṭrāẏatta rugnaśilpera sāphalye uttaraṇa / Ema. E. Mānanāna.,
Byāgera madhye nirjanatā / Agni Rāẏa.,
"Cachar district records : letters subsequent to the annexation of Cachar, 1834-1853 / compiled by D. Datta ; edited by Sunanda Datta.",
Byakti banāma byaktitva : Gāndhījī o Netājī / Bhabānī Prasāda Caṭṭopādhyāẏa.,
Byābela Ṭāoẏārera cuṛā / Sudhīra Datta.,
Byatikramera eka adhyāẏa / Saiẏada Ābadusa Sulatāna.,
Br̥shṭite bhejāra baẏasa / Samareśa Majumadāra.,
"Br̥hattara Sileṭera itihāsa / sampādaka, Mo. Ābadula Ājīja [and others].",
Yakhana Baṅgabhabane chilāma / Śāmasuddīna Āhameda.,
Yakhana choṭa chilāma / Satyajit̲ Rāẏa.,
Caitanyacarcāra pān̐caśo bachara / Debāśisa Bandyopādhyāẏa.,
Calana bilera padābalī / Śaphīuddīna Saradāra.,
"A calculated game : painting exhibition by Ripon Saha, 30 April-23 May 2015 / curated by Wakilur Rahman & Kehkasha Sabah.",
Calaccitrera sāthe bojhāpaṛā / Belāẏata Hosena Māmuna = Conversation with film culture / by Belayat Hossain Mamun.,
Calliśa theke ekāttara / Ema. Āra. Ākhatāra Mukula.,
Codda śatakera Bāṅālī / Atula Sura.,
Calo yāi hāoẏāi : raṃberaṃẏera gāna / Śarmishṭhā.,
Buddhijībī hatyākāṇḍera nepathye / Raphikula Isalāma.,
Yakhana samaẏa ela / Saiẏada Ālī Āhasāna.,
Uṛo pākhira chāẏā : Karnelera jārnāla theke / Saiẏada Mustāphā Sirāja.,
Ruddha duẏāre hāta / Haripada Datta.,
"Bhāratabarsha, prabandha saṃkalana / sampādanā, Bāridabaraṇa Ghosha.",
Bhādu o Ṭusu / Rāmaśaṅkara Caudhurī.,
Bhālabese dhuloẏa nemechi / Śakti Caṭṭopādhyāẏa.,
Bhāgīrathī bahe cale / Nihārarañjana Gupta.,
"Bhāshāmanana, Bāṅāli manīshā / Pabitra Sarakāra.",
Bhiḍio-bhagabāna-nakuladānā / Svapnamaẏa Cakrabartī.,
Bhramara kaio giẏā / Tasalimā Nāsarina.,
Bhuluẏārāja Candramāṇikyera Apadeśaśataka / Kalpanā Bhaumika.,
Bhāratīẏa saṃbādapatrera itihāsa / Baṃśī Mānnā.,
"Bhāratīẏa nr̥tye traẏī : Jaẏadeba, Caitanyadeba o Rabīndranātha / Mahuẏā Mukhopādhyāẏa.",
Bhāshā-āndolanera ādiparba / Ābdula Haka.,
"Bhāwāiyā, ethnomusicological study / Sukhbilas Barma.",
Bhāshā āndolana prasaṅga : katipaẏa dalila / Badaruddīna Umara [sampādita].,
"Bhāso, āmāra bhelā. : [Galpera saṃkalana] / [lekhaka] Buddhadeba Basu.",
Bhojan śilpī Bāṅālī / Buddhadeba Basu.,
Bhinna dhārāra galpa / Sucitrā Bhaṭṭācārya.,
Rūpakathā bheṅe yāẏa / Tapana Bandyopādhyāẏa.,
"Rūpe, barṇe, chande / Sudhīra Cakrabartī.",
Rūpa theke rūpe / Tārāpraṇaba Brahmacārī.,
Bheṅe yāoẏāra pare / Jaẏa Gosvāmī = Bhenge jawar pore / by Joy Goswami.,
Bhūmi saṃskārera svarupa / Timira Basu.,
Bhūmi o kusuma / Selinā Hosena.,
"Bhūmendra Guha'ra kabitā / sampādanā, Rāhula Purakāẏastha.",
"Bibhūtibhūshaṇa, dvandvera binyāsa / Ruśatī Sena.",
Sama-Sāmaẏika Nārāẏaṇagaṛa / Śrīkedāranātha Pāhāṛī praṇīta. bhumikā: Prabodhakumāra Bhaumika.,
Samagra kiśora-sāhitya / Nārāẏaṇa Gaṅgopādhyāẏa.,
Bibeka bidāẏa pālā / Mahāśvetā Debī.,
Bibekī śilpī Annadāśaṅkara : ālocanā o patrābalī / sampādaka Śibanārāẏaṇa Rāẏa.,
Bibhūtibhūshaṇera aprakāśita racanā / Sunīlakumāra Caṭṭopādhyāẏa sampādita.,
"Bibhūtibhūshaṇa, deśe-bideśe / [sampādaka] Sunīlakumāra Caṭṭopādhyāẏa.",
Samara Sena br̥ttānta / Samīraṇa Majumadāra sampādita.,
Samakālīna sāhityera dhārā / [Lekhaka] Mohāmmada Māhaphujaullāh.,
Samabāyera sahaja pāṭha / [lekhaka] Manira Uddīna Āhmada.,
Samakālīna premera galpa / Sampādanāẏa: Esa. Ema. Pārabheja [ebaṃ] Borahāna Āhmada.,
"Samakālīna Pāñjābī galpa / anubāda o sampādanā, Śyāmala Bhaṭṭācārya.",
Ṛgveda o nakshatra / [lekhikā] Belābāsinī Guha [o] Ahanā Guha.,
R̥shi Baṅkimacandrera Ānandamaṭha / nāṭyarūpa: Śacindranātha Bandyopādhyāẏa.,
R̥judāra saṅge jaṅgale / Buddhadeba Guha.,
Rahu caṇḍālera hāṛa / Abhijit̲ Sena.,
Saptāśva sūryera rathe / Rabīna Sura.,
Sarat̲ sāhitye nārī / [lekhaka] Śrikshīroda Kumāra Datta.,
Sata sata gitamukharita / Sudhira Cakrabarti.,
"Saṭīka Cāṇakya śloka : Bistr̥ita bhūmika, mūla, aṇvẏa,śabdārthā, padẏa o goddẏanubāda pr̥abhiti saṃvalita / Srī Asitaraṇjẏana Cakrabarttī kar̥tika saṃgrihīta.",
Saṅgīta o darśana / Advaita Candra Dāsa.,
Ūnabiṃs̄a śatābdira Bāṃlā / [lekhaka] Śrīyogeśacandra Bāgala.,
Ūnabimśa śatābdīra svarūpa / Binaẏakṛshṇa Datta.,
Ūniśa'śa caushaṭṭi sāla / Maitreẏī Debī.,
Sarala cālera khelā / Sāiẏida Ātīkullāh.,
Caritrera saṭhika pratibhā / Amita Cakrabartī.,
"Caritābhidhāna, br̥hattara Pharidapura / Sāīdā Jāmāna o Mahasina Hosāina.",
"Sarpabhābanā, saṃskr̥tira darpaṇe / Rītā Ghosha.",
Bhaẏābaha sei dinagulite / [Kabi] Jasīma Uddīna.,
Bhālo mānushera jagat̲ / Sirājula Isalāma Caudhurī.,
Bhāgya kathā bale / Begama Nūrajāhāna.,
Bhālo-bāsāra bārāndā / Nabanītā Debasena.,
Bhālabāsa mora gāna / saṅgīta praśikshaka Sudhīna Dāśa ; saṅgīta paricālaka Daulatura Rahamāna ; Najarula Insaṭiṭiuṭera nibedana.,
Bhaẏa pelena Abhaẏacaraṇa / Binoda Ghoshāla = Bhoy palen Avayacharan / by Binod Ghosal.,
"Bhālobāsā cāi, dāo... / Nīlāñjana Caṭṭopādhyāẏa = Bhalobasha chai, dao... / by Nilanjan Chattopadhyay.",
Bhāṅo durdaśāra cakra = Vango durdoshar chakra / Ābadullāha Ābu Sāẏīda.,
Bhāratera nau-śilpa / [lekhaka] Rādhākumuda Mukhopādhyāẏa. Brajendra Nātha Śīla likhita pariciti..,
Bhāratera Cīna yuddha / Apriẏa Rāẏa.,
Bhāratera dāinibr̥ttira itikathā / Debabrata Bhaṭṭācārya.,
Bhāratīẏa darśana kosha / Śrīmohana Bhaṭṭācārya ebaṃ Dīneśa Candra Bhaṭṭācārya.,
Bhāratīẏa bhāskarye mithuna / Nārāẏaṇa Sānyāla.,
Bhāratī Bāṅalā abhidhāna / biśishṭa paṇḍita o adhyāpakamaṇḍalī sampādita.,
"Bhāratera Bāṃlā galpa = Bharater Bangla galpa / sampādaka Tanmaẏa Bīra ; saha-sampādaka Durgādāsa Midyā ; biśesha sahāẏatā, Śyāmala Bhaṭṭācārya = Bengali stories of India / editor Tanmay Bir ; co-editor Durgadas Midya.",
Bhramaṇa o sādhusaṅga / Śibaśaṃkara Bhāratī.,
Bhule yāoẏā itihāsa : 1757-1947 / Esa. E. Siddikī.,
Bholā manare āmāra : Khrishṭiya loka saṃgīta.,
Bhāshā āndolanera itihāsa / sampādanaẏa: Mohāmmada Ābula Kāsema.,
"Bhikhāri, ekaṭi anusandhāna / Śālati Risārca Grupa [and others].",
Bhinna rucira adhikāra / Śaṅkha Ghosha.,
Bibartanera āloke śatakratu / Gītā Mukhopādhyāẏa.,
Bibekānanda o Bāṃlāsāhitya / Śrīpraṇabarañjana Ghosha.,
Samakālīna Bhārate Subhāshacandra / Śaṅkarīprasāda Basu.,
"Samakālīna sāhitye Baṅgabhaṅga / sampādanā, Bāridabaraṇa Ghosha.",
"R̥tvika Ghaṭakera nāṭakasaṃgraha / saṃkalana o sampādanā, Rathīna Cakrabartī.",
R̥shi Arabinda maṅgalakābya / Sujaẏacandra Ghoshāla = Hrishi Aurobindo mangalkabya / by Sujoy Chandra Ghosal.,
Bibāha ḍaṭa kama / Banānī Sikadāra = Bibaha dot com / by Banani Sikdar.,
Samāja o sāhitya / Kāmāla Ātāura Rahamāna.,
"Samāja, sabhyatā, jībana / Maphija-ul Haka.",
Samāja theke bānāna / Subīra Rāẏacaudhurī.,
Sambhābanāmaẏa Br̥hattara Caṭṭagrāma / Ema. Ema. Emarāna Caudhurī.,
"Samaẏa, samāja, sāhitya / Tapodhīra Bhaṭṭācārya.",
R̥gvedīẏa purusha sūkta : Bhāgabata bhāshya sha / Rāmapada Caṭṭopādhyāẏa.,
Bibekānandera svecchāmr̥tyura dhārābhāshya / Sujita Rāẏa = Vivekanandesr swechcha mrityur dharabhasya / by Sujit Roy.,
Samāja o itihāsa / Amlāna Datta.,
"Samāja, sāhitya, rāshṭra / [Lekhaka] Ābula Phajala.",
Samāja o aitihya / [bhumikā lekhaka Kājī Motāhāra Hosena.,
Sabāra priẏa Subhāsha / Sudhāṃśurañjana Ghosha.,
Sabāra priẏa Ṭenidā / Nārāẏaṇa Gaṅgopādhyāẏa.,
Saba caritra kālpanika / Baruṇa Senagupta.,
Sabāre āmi nami / Kānana Debī. Anulikhana: Sandhyā Sena.,
"Samāja, saṃskr̥ti, sāhitya / [Lekhaka] Hāsāna Jāmāna.",
Saba sambhabera deśe / Munatāsīra Māmuna.,
Saba galpei Puruliẏā / Prabīra Sarakāra = Sob golpey Purulia / by Prabir Sarkar.,
Sabuja tārāra sandhāne / [Lekhikā] Citritā Debī.,
Rūpakathā ebaṃ tārapara / Banaphula.,
Rūpa theke rūpe / Śrīsumathanātha Ghosha.,
Rūpatīrtha Rūpakuṇḍa-Homakuṇḍa / Dīpakakumāra Sarakāra.,
Bhūterā bhīshaṇa bhitu / Śāntanu Bandyopādhyāẏa = Bhutera bhishan bhitu / by Shantanu Bandyopadhyay.,
Samakālīna choṭa galpa / Phakira Āśarāpha sampādita.,
Samarajit̲ Rāẏa Caudhurī = Samarjit Roy Choudhury.,
"Samabāẏa, saṃgrāma, sādhanā / Nājira Hosena.",
Samaẏa asamaẏera br̥ttānta / Debeśa Rāẏa.,
Samāja o sampradāẏa / [lekhaka] Śrīprabodhakumāra Bhaumika.,
"Samāja saṃskr̥ti itihāsa : adhyāpaka Aśīna Dāśagupta smārakagrantha / sampādanā, Raṇabīra Cakrabartī, Kuṇāla Cakrabartī, Amita Bandyopādhyāẏa.",
Samaẏa nihata ghume / Premamaẏa Dāśagupta.,
"Samāja, pragati, Rabīndranātha / Kshudirāma Dāsa.",
"Samāja, sāhitya, saṃskr̥ti / [lekhaka] Raṇajit̲akumāra Sena.",
Samāja prabāhe sāhitya / Nārāẏaṇa Caudhurī.,
Samājatantra o saṃskr̥ti / Rabīndra Gupta.,
Samaẏa baṛa kama / Nīrendranātha Cakrabartī.,
"Samasāmaẏika dr̥shṭite Sunītikumāra / sampādanā, Pallaba Mitra.",
"Samālocanāra rūparekha, Baṅkimaparba / Jaẏanta Bandyopādhyāẏa.",
Samaẏa baṛa balabāna / Śyāmala Gaṅgopādhyāẏa.,
Sambhabāmi yuge yuge / Satīśacandra Mukhopādhyāẏa sampādita.,
Samaẏa bheṅgeche saṃsaẏa / Śāmasura Rāhamāna [and others].,
Samājatantra o anyānya / Ālī Manoẏāra.,
Saba lajikera bāire / Abhijñāna Rāẏacaudhurī = Sob logicer baire / by Abhijnan Roychowdhury.,
Sabdai cikitsita kare / Saiyada Samasula Haka = Shobdoi chikitshito kore / by Syed Shamsul Haq.,
"Saris of India : Bihar & West Bengal / general editor, Martand Singh ; compiled and edited by R̥ta Kapur Chishti ; research authors, Bihar: Priya Ravish Mehra & Tushar Kumar, Bengal: Nivedita Bannerji.",
Samagra galpa-sambhāra / Bimala Mitra.,
Samāja o saṃskr̥ti / Amalendu De.,
Samājasebaka Ālāuddina Āhameda : jībana o samājakalyāṇa / Khondakāra Riẏājula Haka.,
Saba niẏe basabāsa / Māpharuhā Caudhurī.,
Sabuja dvīpa Āndāmāna / [lekhikā] Pratibhā Gupta.,
Candradosha oshudhe sāreṇā / Subodha Sarakāra.,
Candanera sukha duḥkha / Mahaphila Haka.,
"Sacitra saptakāṇḍa Rājasthāna / Bipinabihārī Nandī karttr̥ka racita ; sampādana o prākkathana, Dhyāneśa Nārāẏaṇa Cakrabartī.",
Samudrera nīla yantraṇā / Momatāja Begama.,
Samudracara o bidrohīrā / Bipradāśa Baṛuẏā.,
Serā mānusha Dādāṭhākura / Nirmalarañjana Mitra.,
Serā daśa galpa / Selina Hosena = Sera dash golpa / Selina Hossain.,
Serā daśa galpa / Imadādula Haka Milana = Sera dash golpa / by Imdadul Haq Milan.,
Sonāra hariṇa nei / Āśutosha Mukhopādhyāẏa.,
Sonāra mukuṭa theke / Sunīla Gaṅgopādhyāẏa.,
Sonāli ḍānāra cila / Surañjana Prāmāṇika.,
Sonāli ḍānāra cila / Tamāla Bandyopādhyāẏa = Sonali danar chil / by Tamal Bandyopadhyay.,
Selima Moraśeda racanāsaṃgraha / Selima Moraseda.,
Sojana bādiẏāra ghāṭa / Jasīmauddīna.,
Sri Sri Nityagopal : (known also as the Yogacharya Sri Srimat Abadhuta Jnanananda Deva),
Sophā-kāma-beḍa / Sañjiba Caṭṭopādhyāya.,
Songs of despair / Daud Haider ; translated from the original Bengali by Lila Ray.,
Sésha rātrira tārā / [lekhaka] Ābu Jāphara Sā́masuddīna.,
"Sr̥jana pratibhā Najarula / sampādanā, Saumitra Lāhiṛī.",
Sr̥shṭi sukhera ullāse / sampādaka Manirujjāmāna.,
Sūphīmatera ut̲sa sandhāne / Pārbatī Caraṇa Bhaṭṭācārya.,
"Songs of Tagore / selection and translation, Aruna Chakravarti ; foreword, Sunil Gangopadhyay.",
"Bamladesera bismrtapraya lokasangita / samgraha o sampadana, Samasula Arephina.",
Bandhu bhābo ki? / Faud featuring Topu (Yaatri).,
"Banedi Kalakātāra gharabāṛi / lekhā, Debāśisa Bandyopādhyāẏa ; chabi, Alaka Mitra.",
Banglah-Urdū ṭīcar : maʻ grāmar / mūʻalif Qāz̤ī Muḥammad Shahābuddīn.,
Bankim-Tilak-Dayananda / Sri Aurobindo.,
Bandara śahara Caṭṭagrāma : ekaṭi aitihāsika paryālocanā / Ābadula Haka Caudhurī.,
"Banaphulera duṭi upanyāsa : Agniśvara, Hāṭe bājāre / Banaphula.",
Bandha darajāra sāmane / Candraśekhara Rāẏa = Bandha darajar samne / by Chandrashekhar Roy.,
"Bandī, jege ācho / [lekhaka] Sunīla Gaṅgopādhyāẏa.",
Bandīra jībana smaraṇikā / Śrīrākhālacandra De.,
"Bangla basic vocabulary / Tapas Kayal, Dhrubajyoti Das.",
Abanīndra-śishya Surendranātha / Sudhā Basu.,
Loka-saṃskr̥tira darpaṇe / Yogeśa Rañjana Pāṭhaka.,
Loka-sāhitye chaṛā / [lekhaka] Mohāmmada Sirājuddīna Kāsimapurī.,
Lokajibana o lokasamskrti / Da. Dipaka Bara Panda.,
"Abhijāta galpa saṃkalana / sampādaka, Mānasakumāra Rāẏacaudhurī ; sahayogī sampādaka, Mānaba Cakrabartī o Somanātha Bandyopādhyāẏa.",
Abhiyātrī tīrtha Sundaraḍuṅgā / Sunīla Caudhurī.,
Abhipreta śabdera nāma / Dhrubakumāra Mukhopādhyāẏa.,
Baishṇaba-rasa-prakāśa / Kshudirāma Dāsa.,
"Baishṇaba sāhitya paricaẏa : kābya o darśane, tattva o sādhanāẏa / Śrīmahendranātha Bairāgī.",
Baishṇaba kābye prema / Jyotirmmaẏa Caṭṭopādhyāẏa.,
Baishṇaba pada-naibedya / Haripada Cakrabartī ebaṃ Śibacandra Lāhiṛī sampādita.,
Baishñaba kabi prasaṅge / Debanātha Bandyopādhyāẏa.,
Baishṇaba-siddhānte Śrīgurusvarūpa / Sundarānandadāsa Bidyābinoda praṇīta.,
Baishṇaba-rasa-prakāśa / Kshudirāma Dāsa.,
Balate balate sholo / Debāśisa Ghosha.,
Orā sei puliśa / Naṭarājana.,
Orā bhāṅge nā / Āśāpūrṇādebī.,
Orā kathā kaẏa / [Sampādanāẏa: Niẏāja Muhammāda.,
Orā āche balei / Māmunura Raśīda.,
Balendra kabitā samagra / Śyāmasundara Māiti kartr̥ka sampādita.,
Bamladesera calaccitrera itikatha / Anupama Hayat.,
"Bamladesera satabarshi natyamanca / racana, Liyakata Ali Laki.",
Baṛa pāpa he / Samareśa Majumadāra.,
"Baṛucaṇḍīdāsera Śrīkr̥shṇakīrttana, Rādhābiraha / sampādanā, Pradyota Senagupta.",
Basanta rātera jhaṛa / Saiẏada Mustāphā Sirāja.,
Baṛu Caṇdīdāsera kābya / Sampādanāẏa: Muhammada Ābadula Hāi o Ānoẏāra Pāsā́.,
Paraloka samikshaṇa m : apañcikr̥ta bhutatattva / [lekhaka] Phaṇibhushaṇa Deba.,
Parama biśvāsera gandha / Kāmāla Hosena.,
"Baṃlā chanda-samīkshā / Prabodhacandra Sena [and others] ; bhūmikā, Asitakumāra Bandhyopādhyāya ; gabeshaka-sampādabr̥nda Namitā Cakrabartī [and others].",
"Bamgabandhuke nibedita kabitaguccha / [parikalpanā, Tauphika Rahamāna, Aloka Basu].",
Baṃlādeśe mātr̥bhāshāra adhikāra : prāśāsanika abalokana / Hāẏāt̲ Māmuda.,
Bamladese nirbacani durniti : svarupa o prabanata (1973-2015) / Muhammada Iyahiya Akatara.,
Banalatā Senera flyāṭe / Debabrata Basu.,
Banaphulera nūtana galpa / Śrībalāicān̐da Mukhopādhyāẏa (Banaphula).,
Banaśi Bāigāra abhisheka / Kānāi Kuṇḍu.,
Bandara cheṛe yāẏa / Candana Cakrabartī.,
Bandara theke bandare / [lekhaka] Sānāula Haka.,
Bandhura janya sóka / [lekhaka] Sirāja Uddina Āhameda.,
"Bana, mana, ghara / [lekhaka] Mo sā́rrāpha Billāh.",
Banaphulera ramyaracanā saṃgraha / Banaphula.,
Bangla relative clauses / Azizul Haque.,
